t,bat,h,yaw
1770328176.1625156,50.0,100.0,36.0
1770328176.1941159,50.0,100.0,36.0
1770328176.209825,50.0,100.0,36.0
1770328176.2408483,50.0,100.0,36.0
1770328176.2565873,50.0,100.0,36.0
1770328176.2878318,50.0,100.0,36.0
1770328176.3031259,50.0,100.0,36.0
1770328176.3332267,50.0,100.0,36.0
1770328176.348717,50.0,100.0,36.0
1770328176.37987,50.0,100.0,37.0
1770328176.3954003,50.0,100.0,37.0
1770328176.4260235,50.0,100.0,37.0
1770328176.441382,50.0,100.0,37.0
1770328176.4726825,50.0,100.0,37.0
1770328176.4885373,50.0,100.0,37.0
1770328176.535253,50.0,100.0,37.0
1770328176.5512686,50.0,100.0,37.0
1770328176.5823996,50.0,100.0,36.0
1770328176.5984356,50.0,100.0,36.0
1770328176.6286108,50.0,100.0,36.0
1770328176.6437302,50.0,100.0,36.0
1770328176.6749506,50.0,100.0,36.0
1770328176.690514,50.0,100.0,36.0
1770328176.7213662,50.0,100.0,36.0
1770328176.7370625,50.0,100.0,36.0
1770328176.7679548,50.0,110.0,35.0
1770328176.7830453,50.0,110.0,35.0
1770328176.8148131,50.0,110.0,35.0
1770328176.829925,50.0,110.0,35.0
1770328176.8613267,50.0,110.0,34.0
1770328176.875993,50.0,110.0,34.0
1770328176.9075766,50.0,110.0,34.0
1770328176.9232721,50.0,110.0,34.0
1770328176.9540255,50.0,110.0,34.0
1770328176.969237,50.0,110.0,34.0
1770328177.0005374,50.0,110.0,34.0
1770328177.015821,50.0,110.0,34.0
1770328177.0473964,50.0,110.0,34.0
1770328177.0631845,50.0,110.0,34.0
1770328177.0933514,50.0,110.0,33.0
1770328177.108305,50.0,110.0,33.0
1770328177.1396663,50.0,110.0,33.0
1770328177.1548333,50.0,110.0,33.0
1770328177.1863315,50.0,100.0,32.0
1770328177.2011864,50.0,100.0,32.0
1770328177.2322805,50.0,100.0,32.0
1770328177.247529,50.0,100.0,32.0
1770328177.2792923,50.0,100.0,32.0
1770328177.2943127,50.0,100.0,32.0
1770328177.3249683,50.0,100.0,32.0
1770328177.3406658,50.0,100.0,32.0
1770328177.3717816,50.0,100.0,31.0
1770328177.3873327,50.0,100.0,31.0
1770328177.4191263,50.0,100.0,31.0
1770328177.4338598,50.0,100.0,31.0
1770328177.4659786,50.0,100.0,31.0
1770328177.48181,50.0,100.0,31.0
1770328177.5122383,50.0,100.0,31.0
1770328177.5279262,50.0,100.0,31.0
1770328177.5588632,50.0,100.0,31.0
1770328177.5747547,50.0,100.0,31.0
1770328177.6056964,50.0,100.0,30.0
