t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790262203.8153758,317,0.010971307754516602,91.14683703848577,2.9897689819335938,0.3020000003743917,,0,,0,0,no_face,0,0.005099998816149309,1,,0,,0,0,,0,search_360,0.01750000228639692,1
1790262203.906067,318,0.09069108963012695,11.026441561992293,2.7740001678466797,26.20749999914551,,0,,0,0,no_face,0,0.0037000027077738196,1,,0,,0,0,26.027300002169795,1,search_360,0.013999997463542968,1
1790262203.9150467,319,0.00897979736328125,111.36108751062022,2.9942989349365234,0.19950000205426477,,0,,0,0,no_face,0,0.0042000028770416975,1,,0,,0,0,,0,search_360,0.012799999240087345,1
1790262203.9774442,320,0.06239748001098633,16.026288238305938,1.9969940185546875,31.570800001645694,,0,,0,0,no_face,0,0.005000001692678779,1,7.795100002113031,1,,0,0,23.612900000443915,1,search_360,0.013199998647905886,1
1790262203.98243,321,0.004985809326171875,200.56924254016832,6.980180740356445,0.13930000204709359,,0,,0,0,no_face,0,0.0039000005926936865,1,,0,,0,0,,0,search_360,0.010799998563015833,1
1790262204.0672197,322,0.08478975296020508,11.793877975671618,2.9914379119873047,21.864199999981793,,0,,0,0,no_face,0,0.0037999998312443495,1,,0,,0,0,21.71009999801754,1,search_360,0.013500000932253897,1
1790262204.0781898,323,0.010970115661621094,91.15674171955142,1.9948482513427734,0.19260000044596381,,0,,0,0,no_face,0,0.006499998562503606,1,,0,,0,0,,0,search_360,0.01930000144056976,1
1790262204.141528,324,0.06333804130554199,15.788300038771508,2.9935836791992188,29.856900000595488,,0,,0,0,no_face,0,0.0037999998312443495,1,6.7242999975860585,1,,0,0,22.76770000025863,1,search_360,0.014400000509340316,1
1790262204.1475096,325,0.0059816837310791016,167.17700984495198,5.981683731079102,0.13440000111586414,,0,,0,0,no_face,0,0.0037000027077738196,1,,0,,0,0,,0,search_360,0.01059999704011716,1
1790262204.2339492,326,0.08643960952758789,11.568770445230228,1.0609626770019531,25.37289999963832,,0,,0,0,no_face,0,0.0042000028770416975,1,,0,,0,0,25.212600001395913,1,search_360,0.015799996617715806,1
1790262204.2464306,327,0.012481451034545898,80.11888980153196,2.9952526092529297,0.32640000063111074,,0,,0,0,no_face,0,0.005800000508315861,1,,0,,0,0,,0,search_360,0.01769999653333798,1
1790262204.304679,328,0.058248281478881836,17.167888470023865,2.9909610748291016,28.02239999800804,,0,,0,0,no_face,0,0.0036999990697950125,1,5.6137999999918975,1,,0,0,22.270699999353383,1,search_360,0.013100001524435356,1
1790262204.3096676,329,0.004988670349121094,200.45421525520933,27.33445167541504,0.13339999713934958,,0,,0,0,no_face,0,0.004099998477613553,1,,0,,0,0,,0,search_360,0.01219999830937013,1
1790262204.400939,330,0.09127140045166016,10.956334569771695,2.9942989349365234,22.277500000200234,,0,,0,0,no_face,0,0.0034000004234258085,1,,0,,0,0,22.127200001705205,1,search_360,0.013299999409355223,1
1790262204.4129376,331,0.011998653411865234,83.34268568930572,3.0214786529541016,0.14590000137104653,,0,,0,0,no_face,0,0.0040000013541430235,1,,0,,0,0,,0,search_360,0.013299999409355223,1
1790262204.4734247,332,0.06048703193664551,16.532469324125643,2.033710479736328,28.592200000275625,,0,,0,0,no_face,0,0.0039000005926936865,1,6.933500000741333,1,,0,0,21.28889999949024,1,search_360,0.014199998986441642,1
1790262204.478666,333,0.00524139404296875,190.78893740902475,4.244327545166016,0.13409999883151613,,0,,0,0,no_face,0,0.0039000005926936865,1,,0,,0,0,,0,search_360,0.011399999493733048,1
1790262204.570097,334,0.0914309024810791,10.93722114584773,0.9634494781494141,24.742800000240095,,0,,0,0,no_face,0,0.0034999975468963385,1,,0,,0,0,24.59159999853,1,search_360,0.013200002285884693,1
1790262204.5750859,335,0.004988908767700195,200.4446356033453,0.9980201721191406,0.15559999883407727,,0,,0,0,no_face,0,0.004800000169780105,1,,0,,0,0,,0,search_360,0.012900000001536682,1
1790262204.639441,336,0.06435513496398926,15.538775585810873,0.9980201721191406,29.330999997910112,,0,,0,0,no_face,0,0.004499997885432094,1,6.215200002770871,1,,0,0,22.96559999740566,1,search_360,0.020200001017656177,1
1790262204.6449928,337,0.005551815032958984,180.1212745855879,2.992391586303711,0.13689999832422473,,0,,0,0,no_face,0,0.0038000034692231566,1,,0,,0,0,,0,search_360,0.012099997547920793,1
1790262204.7333212,338,0.08832836151123047,11.321391939018993,1.996755599975586,22.8160000006028,,0,,0,0,no_face,0,0.004099998477613553,1,,0,,0,0,22.65329999863752,1,search_360,0.014799999917158857,1
1790262204.7442932,339,0.010972023010253906,91.14089526292916,2.993345260620117,0.24359999952139333,,0,,0,0,no_face,0,0.004900000931229442,1,,0,,0,0,,0,search_360,0.017099999240599573,1
1790262204.8092003,340,0.06490707397460938,15.40664119894211,2.565145492553711,31.700999999884516,,0,,0,0,no_face,0,0.004800000169780105,1,7.102899999154033,1,,0,0,24.232499999925494,1,search_360,0.015800000255694613,1
1790262204.8141875,341,0.004987239837646484,200.51171240080313,4.987239837646484,0.1961999987543095,,0,,0,0,no_face,0,0.0040000013541430235,1,,0,,0,0,,0,search_360,0.013600001693703234,1
1790262204.8996794,342,0.08549189567565918,11.69701516262804,1.993417739868164,22.235899999941466,,0,,0,0,no_face,0,0.0041000021155923605,1,,0,,0,0,22.073300002375618,1,search_360,0.014999997802078724,1
1790262204.9106514,343,0.010972023010253906,91.14089526292916,1.0004043579101562,0.17579999985173345,,0,,0,0,no_face,0,0.005000001692678779,1,,0,,0,0,,0,search_360,0.014599998394260183,1
1790262204.9711063,344,0.0604548454284668,16.541271306089932,0.0,28.139700003521284,,0,,0,0,no_face,0,0.0034000004234258085,1,5.711499998142244,1,,0,0,22.30460000282619,1,search_360,0.012500000593718141,1
1790262204.9770935,345,0.0059871673583984375,167.02389295954126,1.9962787628173828,0.17440000010537915,,0,,0,0,no_face,0,0.005099998816149309,1,,0,,0,0,,0,search_360,0.01469999915570952,1
1790262205.0690572,346,0.0919637680053711,10.873847621615456,1.9962787628173828,22.195699999429053,,0,,0,0,no_face,0,0.0038999969547148794,1,,0,,0,0,22.03899999949499,1,search_360,0.014300003385869786,1
1790262205.078035,347,0.008977890014648438,111.38474612279583,1.995086669921875,0.18169999748351984,,0,,0,0,no_face,0,0.005199999577598646,1,,0,,0,0,,0,search_360,0.016900001355679706,1
1790262205.1476142,348,0.0695791244506836,14.372126810948615,1.9965171813964844,35.63969999959227,,0,,0,0,no_face,0,0.0035999983083456755,1,7.018699998297961,1,,0,0,28.48720000110916,1,search_360,0.013500000932253897,1
1790262205.1516101,349,0.0039958953857421875,250.25680190930788,8.012056350708008,0.12710000009974465,,0,,0,0,no_face,0,0.0036999990697950125,1,,0,,0,0,,0,search_360,0.011399999493733048,1
1790262205.235674,350,0.08406376838684082,11.895731290539409,2.034425735473633,23.816099997929996,,0,,0,0,no_face,0,0.0033999967854470015,1,,0,,0,0,23.678300000028685,1,search_360,0.012700002116616815,1
1790262205.2416599,351,0.00598597526550293,167.05715537499503,0.9698867797851562,0.14409999857889488,,0,,0,0,no_face,0,0.00419999923906289,1,,0,,0,0,,0,search_360,0.01300000076298602,1
1790262205.3099885,352,0.0683286190032959,14.63515602374115,2.0432472229003906,31.178000001091277,,0,,0,0,no_face,0,0.004999998054699972,1,6.543800001963973,1,,0,0,24.46100000088336,1,search_360,0.01809999957913533,1
1790262205.3159733,353,0.005984783172607422,167.09043104135128,32.274484634399414,0.17630000002100132,,0,,0,0,no_face,0,0.004800000169780105,1,,0,,0,0,,0,search_360,0.016099998902063817,1
1790262205.4014766,354,0.08550333976745605,11.695449589685104,2.9926300048828125,24.928700000600656,,0,,0,0,no_face,0,0.0035000011848751456,1,,0,,0,0,24.77780000117491,1,search_360,0.013799999578623101,1
